1
SV UFFING		& FCKS			&	0	&	0 
1. FC Penzberg 		& Unterammergau  	&	1	&	0 
SF Bichl 		& SV Wielenbach  	&	2	&	2 
SV Münsing-A. 		& TSV Weilheim 	 	&	1	&	1 
Sv Polling 		& SV Bad Heilbrunn 	&	3	&	2 
Eurasb.-Beuerbg.  	& SV Eberfing 		&	1	&	1 
BSC Oberhausen 	  	& TSV Pähl 		&	2	&	2


2
SV UFFING		& Eurasb.-Beuerbg.	&	 3	&	0 
1. FC Penzberg 	 	& TSV Weilheim       	&	 3	&	1 
SF Bichl 	 	& SV Bad Heilbrunn   	&	 2	&	2 
SV Münsing-A. 		& SV Eberfing         	&	 3	&	1 
Sv Polling 	 	& FCKS 	     	      	&	 3	&	3 
TSV Pähl 	 	& Unterammergau      	&	 4	&	2 
BSC Oberhausen 	 	& SV Wielenbach 	&	 1	&	2


3
SV Eberfing		& SF Bichl 	        &	2	&	2 
SV Bad Heilbrunn 	& 1. FC Penzberg        &	0	&	3 
TSV Weilheim 	 	& BSC Oberhausen        &	2	&	3 
TSV Pähl 	 	& SV Wielenbach      	& 	3	&	1 
Unterammergau 	 	& SV UFFING 	      	&	2	&	0 
Eurasb.-Beuerbg. 	& Sv Polling 	    	&	2	&	0 
FCKS 	 	 	& SV Münsing-A.       	&	9	&	1


4 
SV UFFING		& Sv Polling		&	4	&	2 
1. FC Penzberg 	 	& SV Eberfing 	 	&	6	&	1 
SF Bichl 	 	& FCKS 	     		&	1	&	3 
SV Münsing-A. 	 	& Eurasb.-Beuerbg.  	&	5	&	0 
Unterammergau 	 	& SV Wielenbach       	&	5	&	2 
TSV Pähl 	 	& TSV Weilheim   	&	6	&	4 
BSC Oberhausen 	 	& SV Bad Heilbrunn 	&	4	&	2


5
SV Eberfing 	 	& BSC Oberhausen	&	3	&	3 
SV Bad Heilbrunn 	& TSV Pähl	     	&	2	&	2 
TSV Weilheim 	 	& Unterammergau       	&	4	&	0 
SV Wielenbach 	 	& SV UFFING  	   	&	1	&	0 
Sv Polling 	 	& SV Münsing-A. 	&	3	&	2 
Eurasb.-Beuerbg. 	& SF Bichl 	     	&	4	&	2 
FCKS 	 	 	& 1. FC Penzberg     	&	4	&	1


6
SV UFFING 	 	& SV Münsing-A.		&	4	&	1 
1. FC Penzberg 	 	& Eurasb.-Beuerbg. 	&	4	&	1 
SF Bichl 	 	& Sv Polling 	    	&	3	&	2 
SV Wielenbach 	 	& TSV Weilheim    	&	1	&	2 
Unterammergau 	 	& SV Bad Heilbrunn 	&	3	&	2 
SV Eberfing 	 	& TSV Pähl 	    	&	2	&	2 
BSC Oberhausen 	 	& FCKS 			&	1	&	2

7
SV Eberfing 	 	& Unterammergau 	&	0	&	4 
SV Bad Heilbrunn 	& SV Wielenbach  	&	1	&	4 
TSV Weilheim 	 	& SV UFFING      	&	0	&	3 
SV Münsing-A. 	 	& SF Bichl 	    	&	2	&	1 
Sv Polling 	 	& 1. FC Penzberg  	&	0	&	4 
Eurasb.-Beuerbg. 	& BSC Oberhausen    	&	2	&	0 
FCKS 	 	 	& TSV Pähl 	  	&	1	&	1


8
SV UFFING 	 	& SF Bichl		&	2	&	2 
1. FC Penzberg 	 	& SV Münsing-A.      	&	10	&	0 
TSV Weilheim 	 	& SV Bad Heilbrunn   	&	1	&	5 
SV Wielenbach 	 	& SV Eberfing  		&	1	&	3 
Unterammergau 	 	& FCKS    		&	2	&	2 
TSV Pähl 	 	& Eurasb.-Beuerbg.  	&	0	&	1 
BSC Oberhausen 	 	& Sv Polling   		&	3	&	2


9
SV Eberfing 	 	& TSV Weilheim		&	4	&	2 
SV Bad Heilbrunn 	& SV UFFING 	    	&	4	&	3 
SF Bichl 	 	& 1. FC Penzberg   	&	1	&	1 
SV Münsing-A. 	 	& BSC Oberhausen    	&	4	&	1 
Sv Polling 	 	& TSV Pähl 	   	&	3	&	4 
Eurasb.-Beuerbg. 	& Unterammergau 	&	2	&	3 
FCKS 	 	 	& SV Wielenbach        	&	3	&	2


10
SV UFFING 	 	& 1. FC Penzberg 	&	1	&	1 
SV Bad Heilbrunn 	& SV Eberfing 	        &	0	&	2 
TSV Weilheim 	 	& FCKS 	            	&	1	&	2 
SV Wielenbach 	 	& Eurasb.-Beuerbg. 	&	2	&	3 
Unterammergau 	 	& Sv Polling 	      	&	2	&	3 
TSV Pähl 	 	& SV Münsing-A. 	&	1	&	0 
BSC Oberhausen 	 	& SF Bichl 	        &	0	&	0

11
SV UFFING		& SV Eberfing		&	4	&	0 
1. FC Penzberg 		& BSC Oberhausen 	&	4	& 	0 
SF Bichl 		& TSV Pähl 	       	&	3	&	1 
SV Münsing-A. 		& Unterammergau 	&	2	&	2 
Sv Polling 		& SV Wielenbach 	&	9	&	1 
Eurasb.-Beuerbg. 	& TSV Weilheim 	      	&	4	&	0 
FCKS 			& SV Bad Heilbrunn 	&	1	&	1


12
SV Eberfing		& FCKS 	  	        &	2	&	3 
SV Bad Heilbrunn 	& Eurasb.-Beuerbg. 	&	2	&	0 
TSV Weilheim 		& Sv Polling 	      	&	0	&	1 
SV Wielenbach 		& SV Münsing-A. 	&	0	&	0 
Unterammergau 		& SF Bichl 	        &	4	&	1 
TSV Pähl 		& 1. FC Penzberg 	&	1	&	2 
BSC Oberhausen 		& SV UFFING 	      	&	2	&	1


13
FCKS			& SV UFFING 	        &	3	&	1 
Unterammergau 		& 1. FC Penzberg 	&	0	&	2 
SV Wielenbach 		& SF Bichl 	       	&	2	&	2 
TSV Weilheim 		& SV Münsing-A. 	&	3	&	2 
SV Bad Heilbrunn 	& Sv Polling 	     	&	2	&	2 
SV Eberfing 		& Eurasb.-Beuerbg. 	&	4	&	0 
TSV Pähl 		& BSC Oberhausen 	&	2	&	0


14
Sv Polling 		& SV Eberfing 	        &	1	&	4 
SV Münsing-A. 		& SV Bad Heilbrunn 	&	0	&	0 
SF Bichl 		& TSV Weilheim 	        &	0	&	2 
1. FC Penzberg 		& SV Wielenbach 	&	8	&	0 
BSC Oberhausen 		& Unterammergau 	&	0	&	2 
SV UFFING 		& TSV Pähl 	       	&	1	&	0 
Eurasb.-Beuerbg. 	& FCKS 	        	&	-	&	-


15   
SV Eberfing 		& Sv Polling		&	0	&	4 
SV Bad Heilbrunn 	& SV Münsing-A. 	&	3	&	2 
TSV Weilheim 		& SF Bichl 	     	&	1	&	3 
SV Wielenbach 		& 1. FC Penzberg 	&	1	&	3 
Unterammergau 		& BSC Oberhausen 	&	-	&	-
TSV Pähl 		& SV UFFING 	        &	0	&	2 
FCKS 			& Eurasb.-Beuerbg.	&	4	&	1


16   
Eurasb.-Beuerbg. 	& SV UFFING		&	3	&	1 
TSV Weilheim 		& 1. FC Penzberg 	&	0	&	2 
SV Bad Heilbrunn 	& SF Bichl 	      	&	2	&	2 
SV Eberfing 		& SV Münsing-A. 	&	2	&	1 
FCKS 			& Sv Polling 	        &	6	&	1 
Unterammergau 		& TSV Pähl 	     	&	2	&	0 
SV Wielenbach 		& BSC Oberhausen 	&	1	&	3


17
SF Bichl 		& SV Eberfing		&	0	&	4 
1. FC Penzberg 		& SV Bad Heilbrunn 	&	5	&	1 
BSC Oberhausen 		& TSV Weilheim 	       	&	0	&	2 
SV Wielenbach 		& TSV Pähl 	        &	1	&	1 
SV UFFING 		& Unterammergau 	&	2	&	2 
Sv Polling 		& Eurasb.-Beuerbg. 	&	1	&	1 
SV Münsing-A. 		& FCKS 	       	   	&	1	&	3


18
Sv Polling 		& SV UFFING		&	1	&	2 
SV Eberfing 		& 1. FC Penzberg 	&	2	&	2 
FCKS 			& SF Bichl 	        &	1	&	0 
Eurasb.-Beuerbg. 	& SV Münsing-A.		&	0	&	3 
SV Wielenbach 		& Unterammergau 	&	0	&	6 
TSV Weilheim 		& TSV Pähl 		&	1	&	1 
SV Bad Heilbrunn 	& BSC Oberhausen	&	4	&	1


19
BSC Oberhausen 		& SV Eberfing 		&	3	&	0 
TSV Pähl 		& SV Bad Heilbrunn 	&	1	&	2 
Unterammergau 		& TSV Weilheim 		&	1	&	1 
SV UFFING 		& SV Wielenbach 	&	1	&	0 
SV Münsing-A. 		& Sv Polling 		&	1	&	4 
SF Bichl 		& Eurasb.-Beuerbg. 	&	0	&	4 
1. FC Penzberg 		& FCKS 		     	&	4	&	1


20
SV Münsing-A. 		& SV UFFING 		&	0	&	1 
Eurasb.-Beuerbg. 	& 1. FC Penzberg 	&	2	&	4 
Sv Polling 		& SF Bichl 		&	4	&	2 
TSV Weilheim 		& SV Wielenbach 	&	1	&	0 
SV Bad Heilbrunn 	& Unterammergau 	&	4	&	2 
TSV Pähl 		& SV Eberfing 		&	0	&	0 
FCKS 			& BSC Oberhausen 	&	2	&	0


21   
Unterammergau 		& SV Eberfing 	        &	-	&	- 
SV Wielenbach 		& SV Bad Heilbrunn 	&	-	&	- 
SV UFFING 		& TSV Weilheim 	       	&	-	&	- 
SF Bichl 		& SV Münsing-A. 	&	-	&	- 
1. FC Penzberg 		& Sv Polling 	     	&	-	&	- 
BSC Oberhausen 		& Eurasb.-Beuerbg. 	&	-	&	- 
TSV Pähl 		& FCKS 	      		&	-	&	-


22
SF Bichl 		& SV UFFING		&	-	&	- 
SV Münsing-A. 		& 1. FC Penzberg 	&	-	&	- 
SV Bad Heilbrunn 	& TSV Weilheim 	        &	-	&	- 
SV Eberfing 		& SV Wielenbach 	&	-	&	- 
FCKS 			& Unterammergau 	&	-	&	- 
Eurasb.-Beuerbg. 	& TSV Pähl 	       	&	-	&	- 
Sv Polling 		& BSC Oberhausen 	&	-	&	-


23
TSV Weilheim 		& SV Eberfing		&	-	&	- 
SV UFFING 		& SV Bad Heilbrunn 	&	-	&	- 
1. FC Penzberg 		& SF Bichl 	     	&	-	&	- 
BSC Oberhausen 		& SV Münsing-A. 	&	-	&	- 
TSV Pähl 		& Sv Polling 	       	&	-	&	- 
Unterammergau 		& Eurasb.-Beuerbg. 	&	-	&	- 
SV Wielenbach 		& FCKS 	     	 	&	-	&	-


24
1. FC Penzberg		& SV UFFING		&	-	&	- 
SV Eberfing 		& SV Bad Heilbrunn 	&	-	&	- 
FCKS 			& TSV Weilheim 	      	&	-	&	- 
Eurasb.-Beuerbg. 	& SV Wielenbach 	&	-	&	- 
Sv Polling 		& Unterammergau 	&	-	&	- 
SV Münsing-A. 		& TSV Pähl 	     	&	-	&	- 
SF Bichl 		& BSC Oberhausen 	&	-	&	-


25   
SV Eberfing		& SV UFFING		&	-	&	- 
BSC Oberhausen 		& 1. FC Penzberg 	&	-	&	- 
TSV Pähl 		& SF Bichl 	        &	-	&	- 
Unterammergau 		& SV Münsing-A. 	&	-	&	- 
SV Wielenbach 		& Sv Polling 	     	&	-	&	- 
TSV Weilheim 	     	& Eurasb.-Beuerbg. 	&	-	&	- 
SV Bad Heilbrunn 	& FCKS 	       	   	&	-	&	-


26
FCKS			& SV Eberfing		&	-	&	- 
Eurasb.-Beuerbg.   	& SV Bad Heilbrunn	&   	-	&	- 
Sv Polling 	  	& TSV Weilheim 	      	&	-	&	- 
SV Münsing-A. 	  	& SV Wielenbach 	&	-	&	-  
SF Bichl 	 	& Unterammergau	        & 	-	&	- 
1. FC Penzberg 	  	& TSV Pähl 	     	&	-	&	- 
SV UFFING 	  	& BSC Oberhausen      	&	-	&	-
